token,frequency,token_preprocessed
[بريد],2341,[بريد]
[مستخدم],5058,[مستخدم]
هههههه,49,هههههه
حزب,476,حزب
الله,2993,الله
حطموا,2,حطموا
اسطورة,31,اسطورة
الميركافا,2,الميركافا
الاسرائيليه,3,الاسرائيليه
عام,408,عام
2006,33,2006
بينما,81,بينما
السعودية,1917,السعودية
كانت,727,كانت
مهتمة,3,مهتمة
في,16962,في
بول,16,بول
البعير,5,البعير
"""",35083,""""
RT,2837,RT
:,11476,:
البنات,82,البنات
اللي,1874,اللي
م,388,م
صامو,2,صامو
بقولكم,4,بقولكم
ترا,47,ترا
رمضان,331,رمضان
قرب,39,قرب
و,7150,و
الوقت,166,الوقت
قليل,107,قليل
ف,831,ف
ناسيين,6,ناسيين
حبيت,33,حبيت
اذكرهم,6,اذكرهم
اشارة,11,اشارة
رابعة,93,رابعة
اشبه,8,اشبه
بنار,2,بنار
تحرق,17,تحرق
الانقلابيين,18,الانقلابيين
ماهي,36,ماهي
مميزات,13,مميزات
درجه,16,درجه
بزنس,2,بزنس
علما,5,علما
اني,177,اني
بروكسيل,2,بروكسيل
اريد,16,اريد
الذهاب,52,الذهاب
لمصر,212,لمصر
؟,4335,؟
كم,201,كم
الوزن,9,الوزن
المسموح,3,المسموح
للشخص,6,للشخص
ما,3127,ما
لا,2878,لا
تراه,20,تراه
على,7600,على
التلفاز,8,التلفاز
منافسة,21,منافسة
شديدة,16,شديدة
بين,1031,بين
المرشحين,37,المرشحين
#,48541,#
هيلاري,357,هيلاري
_,37094,_
كلنتون,303,كلنتون
دونالد,256,دونالد
ترامب,566,ترامب
[رابط],23421,[رابط]
استخدام,44,استخدام
المحادثات,8,المحادثات
المشفرة,6,المشفرة
والرسائل,3,والرسائل
ذاتية,7,ذاتية
الحذف,3,الحذف
Facebook,4,Facebook
Messenger,2,Messenger
فيسبوك,155,فيسبوك
…,3282,…
يعني,537,يعني
ريكي,129,ريكي
مارتن,155,مارتن
العالمي,176,العالمي
حب,111,حب
شاب,100,شاب
من,14280,من
سوريا,1109,سوريا
!,6236,!
بنات,59,بنات
جامعة,109,جامعة
البا,6,البا
اللبنانية,53,اللبنانية
بحبوا,2,بحبوا
الشباب,554,الشباب
السوريين,188,السوريين
عادي,114,عادي
عهر,8,عهر
العنصرية,15,العنصرية
تدهور,8,تدهور
الحالة,10,الحالة
الصحية,14,الصحية
لعائلات,2,لعائلات
شهداء,74,شهداء
وجرحى,8,وجرحى
الثورة,394,الثورة
المضربين,4,المضربين
عن,3314,عن
الطعام,21,الطعام
القرآن,51,القرآن
الكريم,50,الكريم
معلق,21,معلق
بيوتنا,7,بيوتنا
ولكن,316,ولكن
لم,1203,لم
نشعر,8,نشعر
أننا,31,أننا
هجرناه,2,هجرناه
كما,392,كما
شعرنا,5,شعرنا
أن,1977,أن
الواتساب,6,الواتساب
آخر,228,آخر
حالة,135,حالة
ظهور,55,ظهور
للمصحف,2,للمصحف
عند,285,عند
البعض,92,البعض
ر,34,ر
قصة,80,قصة
«,730,«
خناقة,13,خناقة
»,720,»
سعيد,132,سعيد
صالح,139,صالح
عزاء,54,عزاء
والد,17,والد
عادل,223,عادل
إمام,88,إمام
قول,68,قول
صدق,71,صدق
العظيم,212,العظيم
حقهم,17,حقهم
يا,2573,يا
علي,1761,علي
داعش,482,داعش
يكرهوك,2,يكرهوك
لان,180,لان
ربهم,7,ربهم
هبل,8,هبل
انت,675,انت
حر,60,حر
ت,35,ت
ترقصين,2,ترقصين
بعرس,4,بعرس
واطالعين,2,واطالعين
فوق,125,فوق
وتحركين,2,وتحركين
حلجج,2,حلجج
حافظه,4,حافظه
الاغنيه,14,الاغنيه
),2475,)
لازم,233,لازم
طلقه,2,طلقه
بالراس,6,بالراس
الجيش,546,الجيش
السوري,357,السوري
يسيطر,30,يسيطر
بشكل,186,بشكل
كامل,149,كامل
’,53,’
السكن,23,السكن
الشبابي,21,الشبابي
الأحياء,40,الأحياء
الشرقية,220,الشرقية
ب,985,ب
حلب,1340,حلب
خالد,557,خالد
المهاوش,2,المهاوش
دعم,210,دعم
مصر,4376,مصر
ل,1097,ل
الأسد,309,الأسد
