,Unnamed: 0,tweet,sarcasm,sentiment,dialect,total_pos_count,total_neg_count,total_sentiment_score
0,0,محمودالعلايلياري الفريق احمدشفيق رقم مهم المعادله السياسيه المصريه اغفالههل تري صحيحاربعهزاءدواحد,False,NEU,msa,4871,3401,0.03299999999999992
1,1,فيدرر يا اجا والكبار,False,NEU,msa,55217,28007,0.568
2,2,الداعون لمبدا الاختلاط الجنسين كالداعين لالغاء التسعيره كلاهما يريد تصفيه السوق السوداء بجعلها حره الاختلاط,True,NEG,msa,0,0,0.0
3,3,مساكين الصبح هوما رايحين راجعين عاي غوغل تعبت بدالهم ههههه,True,NEG,gulf,2184,671,2.279
4,4,قل شرق حلب تقل حلب الشرقيه وقل غرب حلب تقل حلب الغربيه فحلب موحده ويريدونها منقسمه حلبتنتصر,False,NEU,msa,1048,833,0.12799999999999997
5,5,طبيب المقاصه اصابه احمدالشيخ بسيطه تحتاج للراحه,False,NEG,msa,157,155,-0.098
6,6,مرسي مش هنام اكتر اربع ساعات نمت دقيقه كمان زياده هديك دماغك,True,NEG,egypt,40414,20310,3.0750000000000006
7,7,انتخبواالبرص مشكله,True,NEG,egypt,0,0,0.0
8,8,هاشتاق العرب فيديو اهالي القدس يرفعون الاذان اسطح منازلهم تحديا لقانون سلطه,False,POS,msa,979,827,0.169
9,9,️محافظ العاصمه تفقد سير العمليه الانتخابيه لجان الاقتراع تفقد محافظ العاصمه الشيخ طلال الخالد الاحمد الصباح عددا مقار اللجان الانتخابيه مناطق المحافظه وذلك لمتابعه سير عمليه الاقتراع,False,NEU,msa,793,761,-1.054
10,10,الاتجاه اوباما يصل اسراءيل للمشاركه بدفن بيريس الاتجاه وكالاتوصل الرءيس الامريكي باراك اوباما وز,False,NEU,msa,936,282,4.202
11,11,والله عليش مايمدي ايفون يا حبيبي,False,POS,gulf,57903,30862,-1.408
12,12,هذا,False,NEG,levant,12952,10387,0.11
13,13,مدريد كلوب اميركا نصف النهاءيالساعه ١٣٠ الظهر هلا مدريييد ولاشيء اخر ️️️,False,POS,msa,6181,6884,-0.626
14,14,وقت الشده ظنتي الجيش المصري حيوقف السعوديه ماراح يتبعو سيسي غيروا عشان لعاد يوزعو فلوس خلاص كفايه,True,NEG,egypt,10949,12330,0.23800000000000007
15,15,عمليات الانبار تحرر جزيره هيت بالكامل مجرمي داعش اذاعه البيان,False,NEU,msa,575,269,0.998
16,16,القطريين اختتطفو لانهم الاسره الحاكمه لانهم سنه لغرظ مساومتهم اسراهم سوريا حزب الله والله يفك اسرا,False,NEG,msa,64070,72230,-0.3909999999999999
17,17,انت لسه مبقتش شركاء اوبر الفرصه لسه فاديك خطوات بس هتجيب فيش وتشبيه موجه لشركه اوبر,False,NEU,egypt,73905,51161,3.1480000000000006
18,18,مفحوص مفعوص حماه المحتله حماه وحلب والساحل النصيري وذهب يشتغل كلب الناتو لجهنم وبءس المصير درعالفرات,True,NEG,msa,1068,1303,-0.31
19,19,عاجل عرسال عاصفه ثلجيه تهدد حياه الالاف النازحين السوريين منطقه عرسال ماسهالثورهالسوريه,False,NEU,msa,127,249,-3.407
20,20,لوكانبخاطري نفسي اطلع لعمل تطوعي لمساعده النازحين السوريين,False,POS,levant,2412,4391,-1.093
21,21,انا اشفق هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,True,NEG,msa,71196,65851,0.656
22,22,دولهالخلافه القوات العراقيه تفكك العبوات الناسفه خلفها داعش بجزيره الرمادي,False,NEU,msa,498,199,1.048
23,23,ﺣﻤﺪﻳﻦﻋﺎﻭﺯﻳﺤﺎﻛﻢﺍﺳﺪﺍﻟﻌﺮﺏ برضو سانتخبالسيسيومشهنزللمستواك,False,NEG,egypt,1366,431,1.041
24,24,انتخاب مرسي بالقطع سبه ولدي اصدقاء اشك ثوريتهم انتخبوه لكني ببساطه انتخبه وقاطعت الرءيس الشرعي,False,NEU,msa,646,175,1.863
25,25,خطرفيالقدس يزداد الخطر بزياده الغفله واللامبالاه قضايا القدس واخرها صوت ماذنها يقاوم الاحتلال,False,NEG,msa,2260,3587,-0.573
26,26,العصابه الوهابيه تحارب جبهه النصره وتركت جيوش المجوس تسرح حلب ههههههه,True,NEG,msa,2077,644,1.88
27,27,هههههههههههههه كمان حكاها بشار الاسد صلي العيد بداريا,True,NEG,levant,9251,3315,4.042999999999999
28,28,ماجدهواصف اعرف سماالمصري مهرجانالقاهرهالسينماءي يوجه الدعوه مصريات,True,NEG,msa,418,355,0.052000000000000005
29,29,الارهابصناعهامريكيهلاسعوديه قانونجاستامحمد الملا يتكلم مذكرات هيلاري كلنتون,False,NEG,msa,48,2,2.091
30,30,كنت اتابع فيدرر بس كرهت نادال طلع,False,NEG,gulf,44330,41103,0.14499999999999996
31,31,شمعه الكترونيه لمستخدمي اجهزه ابل,False,NEU,msa,354,400,-0.233
32,32,حزبالله فيلقالقدسيتحدث فلسطين يقتل العرب ويدمر حلب,False,NEG,levant,286,275,-0.265
33,33,الاعلامي عكاشه اتغيردرجه بقي بيبرر ارتفاع الاسعار المواطن محدود الدخل بكل الوساءل وبقي زي القط الاليف مرتبات الاعلاميين بتعمل كده,True,NEG,msa,24688,12021,1.868
34,34,جستن بيبر,False,NEU,msa,18,8,0.636
35,35,حماس مشعل بعيون اسراءيل,False,NEU,msa,298,494,-1.0719999999999998
36,36,حواري النجمه الذهبيه نوالالزغبي صفحات جريده الوطن وتصرح اصبحت ناضجه,False,POS,msa,40,12,1.038
37,37,الانفاق قاتله الجنود والمدرعات حلب جبههالنصره اشترت داعش اسلحه تدمر,False,NEG,msa,531,253,-0.733
38,38,انا انصحك تعدل لغتك العربيه بعدها تدخل الجامعه,False,NEG,egypt,63230,55502,-0.12499999999999999
39,39,طول انا بتخانق وبعاتبك يبقا لسه باقيه وبحبك المصيبه بقا بطلت اعمل كدا اعرف انك مبقتش تهمني تفرق معايا,False,NEG,msa,71492,60675,2.654
40,40,نادين نسيب نجيم,False,NEU,msa,132,91,0.616
41,41,اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,False,NEU,levant,1625,2416,-0.5439999999999999
42,42,اللهم نصرت عبدك موسي فانصر عبادك العراق سوريا اليمن نصرا عاجلا نسالك تحمي وطننا وجنودن,False,POS,msa,2299,3967,-0.8409999999999999
43,43,محد صاح,False,NEU,msa,1032,2917,-2.966
44,44,يعني اساس حلف الناتو والسعوديه وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا مخفر,False,NEG,gulf,2194,1025,2.632
45,45,الاهليضمكدوووريالمحترررفيناذا اراد احدكم الكلام فعليه يفكر كلامه ظهرت المصلحه تكلم شك يتكلم حتي تظهر,False,NEU,levant,10459,11395,-0.11300000000000004
46,46,كارثه يرتكبها يقول المولدالنبوي بدعهالاسلام اهلالسنه الازهر المولدالشريف الدعوهالنجديه,False,NEG,msa,0,0,0.0
47,47,الله يرحمه ويعفو عنهكان حزب الخونهاللهم تجاوز واغفر وامسح ذنوبه يارب,False,NEG,msa,63942,71968,-1.706
48,48,اللهم انصر اخواننا حلب وارحم المستضعفين منهم واجعل تدبير اعداءهم تدميرهم وعجل لنا بنصرهم يارحيم,False,POS,msa,1944,3540,-2.8930000000000002
49,49,قلبي رجل️ يلغي رجال,False,POS,msa,95,453,-1.4000000000000001
50,50,مبارياتالخميس ديسمبرريالمدريدكلوبامريكاالشبابالاتفاقالباطنالفيصليالجيشالغرافهجنويفيورنتينا,False,NEU,msa,0,0,0.0
51,51,اتفاق بملياري الصين مصر لتبادل العملات ,False,NEU,msa,3050,1256,1.4580000000000002
52,52,هجومهما الهمجي حلب البيت الابيض يحذر الاسد روسياسوريا واشنطن روسياتحرقحلب تدميرالمشافي,False,NEG,levant,42,47,-0.221
53,53,اقلها اليمن مستقره نوعا حلب فكم دوله تحارب سوريا زال السوريين يدافعون بلادهم اللتي تدمرت روسيا,False,NEG,msa,1067,1271,0.8430000000000002
54,54,الله ياخذ جاك هالجوده زين,False,NEG,msa,65449,74828,-0.645
55,55,نتحمل مسءوليه الحفاظ الرساءل تنسيقها بحيث الوصول صاحب الرساله,False,NEU,msa,2847,1724,0.39
