,Words
0,د
1,محمودالعلايليأرى
2,أن
3,الفريق
4,أحمدشفيق
5,رقم
6,مهم
7,في
8,المعادلة
9,السياسية
10,المصرية
11,ولا
12,يمكن
13,إغفالههل
14,ترى
15,هذا
16,صحيح
17,؟
18,أربعةزائدواحد
19,مع
20,فيدرر
21,يا
22,آجا
23,والكبار
24,وجه
25,مبتسم
26,بعيون
27,قلب
28,[رابط]
29,“
30,الداعون
31,لمبدأ
32,الاختلاط
33,بين
34,الجنسين
35,؛
36,كالداعين
37,لإلغاء
38,التسعيرة
39,كلاهما
40,يريد
41,تصفية
42,السوق
43,السوداء
44,بجعلها
45,حرة
46,”
47,ihe94
48,ya78m
49,amooo5
50,badiajnikhar
51,Oukasafa
52,reoshalm
53,Mnory202
54,مساكين
55,من
56,الصبح
57,و
58,هوما
59,رايحين
60,راجعين
61,عاى
62,غوغل
63,تعبت
64,بدالهم
65,ههههه
66,ي
67,قل
68,شرق
69,حلب
70,تقل
71,الشرقية
72,وقل
73,غرب
74,الغربية
75,فحلب
76,موحدة
77,ويريدونها
78,منقسمة
79,حلبتنتصر
80,طبيب
81,المقاصة
82,إصابة
83,أحمدالشيخ
84,بسيطة
85,تحتاج
86,للراحة
87,فقط
88,مرسي
89,مش
90,هنام
91,اكتر
92,اربع
93,ساعات
94,اليوم
95,لو
96,نمت
97,دقيقة
98,كمان
99,زيادة
100,هديك
101,علي
102,دماغك
103,انتخبواالبرص
104,مشكلة
105,etweeted
106,هاشتاق
107,العرب
108,heArabHashفيديو
109,أهالي
110,القدس
111,يرفعون
112,الأذان
113,فوق
114,أسطح
115,منازلهم
116,تحديا
117,لقانون
118,سلطة
119,مربع
120,صغير
121,أسود
122,محافظ
123,العاصمة
124,تفقد
125,سير
126,العملية
127,الانتخابية
128,عدد
129,لجان
130,الاقتراع
131,الشيخ
132,طلال
133,الخالد
134,الأحمد
135,الصباح
136,،
137,عددا
138,مقار
139,اللجان
140,بعض
141,مناطق
142,المحافظة
143,وذلك
144,لمتابعة
145,عملية
146,الاتجاه
147,أوباما
148,يصل
149,الى
150,إسرائيل
151,للمشاركة
152,بدفن
153,بيريس
154,برس
155,وكالاتوصل
156,الرئيس
157,الأمريكي
158,باراك
159,وز
160,Eyaaaad
161,والله
162,ما
163,عليش
164,مايمدي
165,ايفون
166,سبع
167,حبيبي
168,اف
169,هذاوجه
170,مقرف
171,ريال
172,مدريد
173,كلوب
174,أميركا
175,نصف
176,النهائيالساعه
177,١
178,٣
179,٠
180,الظهر
181,هلا
182,مدريييد
183,ولاشيئ
184,اخر
185,أحمر
186,kdriyadh
187,nevermind330
188,وقت
189,الشدة
190,ظنتي
191,الجيش
192,المصري
193,حيوقف
194,السعودية
195,ماراح
196,يتبعو
197,سيسي
198,غيروا
199,عشان
200,كذا
201,لعاد
202,يوزعو
203,فلوس
204,خلاص
205,كفاية
206,عمليات
207,الأنبار
208,تحرر
209,جزيرة
210,هيت
211,بالكامل
212,مجرمي
213,داعش
214,إذاعة
215,البيان
216,القطريين
217,اختتطفو
218,لانهم
219,الاسره
220,الحاكمه
221,وليس
222,سنه
223,لغرظ
224,مساومتهم
225,اسراهم
226,سوريا
227,حزب
228,الله
229,يفك
230,اسرا
231,…
232,انت
233,لسه
234,مبقتش
235,شركاء
236,اوبر
237,الفرصه
238,فأديك
239,ب
240,4
241,خطوات
242,بس
243,1
244,هتجيب
245,فيش
246,وتشبيه
247,موجه
248,لشركه
249,2
250,مفحوص
251,مفعوص
252,حماة
253,المحتله
254,ترك
255,وحلب
256,والساحل
257,النصيري
258,وذهب
259,يشتغل
260,كلب
261,عند
262,الناتو
263,لجهنم
264,وبئس
265,المصير
266,درعالفرات
267,عاجل
268,عرسال
269,عاصفة
270,ثلجية
271,تهدد
272,حياة
273,الالاف
274,النازحين
275,السوريين
276,منطقة
277,ماسةالثورةالسورية
278,لوكانبخاطري
279,نفسي
280,اطلع
281,لعمل
282,تطوعي
283,لمساعدة
284,السوريينقلب
285,مجروح
286,انا
287,اشفق
288,على
289,هيلاري
290,كلنتون
291,فهي
292,مضطره
293,لمناظره
294,خبل
295,نص
296,كلامه
297,مو
298,مفهوم
299,دولةالخلافة
300,القوات
301,العراقية
302,تفكك
303,العبوات
304,الناسفة
305,التي
306,خلفها
307,بجزيرة
308,الرمادي
309,برضو
310,سأنتخبالسيسىومشهنزللمستواك
311,انتخاب
312,بالقطع
313,ليس
314,سبة
315,ولدى
316,اصدقاء
317,لا
318,اشك
319,ثوريتهم
320,انتخبوه
321,لكني
322,ببساطة
323,لم
324,انتخبه
325,وقاطعت
326,وان
327,كان
328,هو
329,الان
330,الشرعي
331,خطرفيالقدس
332,يزداد
333,الخطر
334,بزيادة
335,الغفلة
336,واللامبالاة
337,قضايا
338,وآخرها
339,صوت
340,مآذنها
341,الذي
342,يقاوم
343,الاحتلال
344,WAZJ81
345,a4EaA6ogaKArvK
346,hjab2030
347,a1k2
348,العصابة
349,الوهابية
350,تحارب
351,جبهة
352,النصرة
353,وتركت
354,جيوش
355,المجوس
356,تسرح
357,ههههههه
358,MMagadli
359,هههههههههههههه
360,حكاها
361,بشار
362,الأسد
363,بعد
364,صلى
365,العيد
366,بداريا
367,ماجدةواصف
368,أعرف
369,هي
370,سماالمصري
371,مهرجانالقاهرةالسينمائي
372,يوجه
373,الدعوة
374,لها
375,مصريات
376,AANKSA1
377,الارهابصناعهامريكيهلاسعوديه
