Unnamed: 0,Arabic Term,Positive Count,Negative Count,Buckwalter index,Sentiment Score
0,خفيييف,5,1,xfyyyf,0.988
1,حظظ,0,10,HZZ,-2.509
2,موقادره,1,7,mwqAdrh,-1.4969999999999999
3,زفرة,0,6,zfrp,-2.057
4,شاهي,98,104,$Ahy,-0.17
5,اديهالك,6,0,AdyhAlk,1.835
6,# افضل _ فلم _ شاهدته _ في 2014,6,0,#AfDl_flm_$Ahdth_fy2014,1.835
7,دق,362,525,dq,-0.48200000000000004
8,لقيتلك,5,0,lqytlk,1.681
9,امانتن,0,11,AmAntn,-2.596
10,مسيو,26,7,msyw,1.105
11,سطل,24,17,sTl,0.217
12,سولف,18,27,swlf,-0.499
13,مبسوطهه,0,5,mbswThh,-1.903
14,انتاجي,6,4,AntAjy,0.225
15,بتسلي,8,2,btsly,0.988
16,بدايت,6,7,bdAyt,-0.245
17,طفل,1012,1245,Tfl,-0.318
18,دويدار,13,2,dwydAr,1.429
19,فطووم,1,6,fTwwm,-1.364
20,mena,5,1,mena,0.988
21,شجي,18,3,$jy,1.4469999999999998
22,الهقوه,6,1,Alhqwh,1.1420000000000001
23,الساوند,43,15,AlsAwnd,0.9009999999999999
24,ارتعب,0,5,{rtEb,-1.903
25,ويبعتلك,5,1,wybEtlk,0.988
26,رمسيس,32,3,rmsys,1.999
27,xddd,16,22,xddd,-0.413
28,ولوهان,0,15,wlwhAn,-2.884
29,طس,8,6,Ts,0.14
30,طنشيها,5,0,Tn$yhA,1.681
31,اندماج,14,7,{ndmAj,0.518
32,نهايتو,1,6,nhAytw,-1.364
33,يحيوانه,1,6,yHywAnh,-1.364
34,مالوم,14,2,mAlwm,1.4980000000000002
35,سعيييد,9,34,sEyyyd,-1.364
36,# بساطة,19,3,#bsATp,1.4980000000000002
37,بتدفي,19,8,btdfy,0.687
38,يطفي,25,60,yTfy,-0.9640000000000001
39,شمر,41,31,$mr,0.161
40,اشد,136,238,A$d,-0.6679999999999999
41,سهلاوي,8,16,shlAwy,-0.747
42,عجين,21,9,Ejyn,0.677
43,) رواه,0,9,)rwAh,-2.414
44,# اردوغان,8,1,#ArdwgAn,1.393
45,ربل,8,7,rbl,0.006999999999999999
46,بازي,3,5,bAzy,-0.517
47,بتحكيلي,7,12,btHkyly,-0.597
48,ساكن,282,244,sAkn,0.033
49,89,3,5,89,-0.517
50,التيليفون,6,2,Altylyfwn,0.736
51,سترونق,0,17,strwnq,-3.0010000000000003
52,بض,212,57,bD,1.19
53,كلامو,5,7,klAmw,-0.39899999999999997
54,ابتسي,0,37,Abtsy,-3.7489999999999997
55,فعال,39,15,fEAl,0.805
56,تلخيص,22,17,tlxyS,0.134
57,# doaaelsebaii,154,125,#doaaelsebaii,0.096
58,قاحة,9,15,qAHp,-0.581
59,فشخة,27,6,f$xp,1.275
60,الزرقاويه,6,0,AlzrqAwyh,1.835
61,ابلز,4,12,Ablz,-1.067
62,تايتنك,5,4,tAytnk,0.071
63,تجلي,40,12,tjly,1.038
64,# جزيرة,19,5,#jzyrp,1.093
65,غياااب,1,5,gyAAAb,-1.21
66,واشربي,8,5,wA$rby,0.294
67,ساعدة,6,3,sAEdp,0.449
68,نسيان,78,253,nsyAn,-1.2790000000000001
69,اقوول,20,29,Aqwwl,-0.46799999999999997
70,# happysungminday,0,6,#happysungminday,-2.057
71,يدتي,7,13,ydty,-0.6709999999999999
72,وشفيها,2,6,w$fyhA,-0.958
73,جاتوه,17,22,jAtwh,-0.35600000000000004
74,كشة,11,10,k$p,-0.024
75,اناقة,54,25,AnAqp,0.638
76,هكذا,354,266,hk*A,0.174
77,اتعس,6,33,AtEs,-1.6909999999999998
78,الاولتراس,9,1,AlAwltrAs,1.4980000000000002
79,نزوة,5,2,nzwp,0.5820000000000001
80,واللله,19,40,wAlllh,-0.8290000000000001
81,هتموتو,5,1,htmwtw,0.988
82,حقهاا,5,0,HqhAA,1.681
83,ارتجي,19,31,{rtjy,-0.581
84,اممين,19,101,Ammyn,-1.74
85,هاري,87,231,hAry,-1.08
86,جمان,10,37,jmAn,-1.351
87,استعجل,106,56,{stEjl,0.519
88,عضل,18,20,EDl,-0.21100000000000002
89,محوج,10,0,mHwj,2.287
90,عليككك,6,7,Elykkk,-0.245
91,انتواا,2,6,AntwAA,-0.958
92,هالملل,0,9,hAlmll,-2.414
93,نبض,105,177,nbD,-0.629
94,كارلا,8,0,kArlA,2.086
95,مطاف,15,10,mTAf,0.264
96,chocolate,11,4,chocolate,0.764
97,اموتفيك,2,42,Amwtfyk,-2.7739999999999996
98,جفنة,1,7,jfnp,-1.4969999999999999
99,# kurtlarvadisipusu242,20,14,#kurtlarvadisipusu242,0.225
100,هخف,5,1,hxf,0.988
101,مابيعملش,7,1,mAbyEml$,1.275
102,نابلسي,10,10,nAblsy,-0.111
103,ميد,83,93,myd,-0.22399999999999998
104,رنينق,0,8,rnynq,-2.3080000000000003
105,# i _ hate _ must,8,18,#i_hate_must,-0.858
106,فمابالك,7,4,fmAbAlk,0.359
107,وججع,2,18,wjjE,-1.9569999999999999
108,احتسبي,6,7,AHtsby,-0.245
109,ميتن,5,3,mytn,0.294
110,شجاعة,69,24,$jAEp,0.919
111,مهندز,6,0,mhndz,1.835
112,بارك,1103,313,bArk,1.146
113,# اعجب,23,9,#AEjb,0.764
114,samy,7,0,samy,1.9680000000000002
115,انحش,6,1,AnH$,1.1420000000000001
116,ماعلاقة,5,0,mAElAqp,1.681
117,could,9,8,could,-0.006
118,اظل,8,6,AZl,0.14
119,تحطلي,4,7,tHTly,-0.581
120,لوسمحتوا,0,7,lwsmHtwA,-2.19
121,مسخررررة,6,0,msxrrrrp,1.835
122,# لجين _ الهذلول _ امام _ محكمة _ الارهاب,23,10,#ljyn_Alh*lwl_AmAm_mHkmp_AlArhAb,0.669
123,مستحمل,16,6,mstHml,0.7759999999999999
124,متنزلش,10,3,mtnzl$,0.9009999999999999
125,وملناش,5,2,wmlnA$,0.5820000000000001
126,جايبلنا,10,2,jAyblnA,1.188
127,رجم,40,30,rjm,0.16899999999999998
128,ناء,8,9,nA',-0.21600000000000003
129,خجلان,6,5,xjlAn,0.043
130,دونقوو,1,7,dwnqww,-1.4969999999999999
131,متغيب,5,1,mtgyb,0.988
132,اتان,47,83,AtAn,-0.6709999999999999
133,خربشات,5,2,xrb$At,0.5820000000000001
134,ريبوست,6,1,rybwst,1.1420000000000001
135,يشيلو,4,7,y$ylw,-0.581
136,ياعصام,5,0,yAESAm,1.681
137,ددي,1,14,ddy,-2.126
138,بااك,40,5,bAAk,1.811
139,# زين,2,12,#zyn,-1.577
140,هيعمل,127,33,hyEml,1.215
141,سواليفي,0,5,swAlyfy,-1.903
142,بكج,18,37,bkj,-0.804
143,بينفعني,1,6,bynfEny,-1.364
144,"المشكلة ,",7,5,"Alm$klp,",0.177
145,مايك,23,25,mAyk,-0.191
146,مؤبد,22,31,mWbd,-0.441
147,تقارب,19,5,tqArb,1.093
148,جيبوها,1,47,jybwhA,-3.2889999999999997
149,محفور,10,5,mHfwr,0.495
150,وابعتلك,5,1,wAbEtlk,0.988
151,قميء,3,7,qmy',-0.804
152,مكان,2324,2363,mkAn,-0.128
153,كخة,5,6,kxp,-0.265
154,لوحدو,6,10,lwHdw,-0.563
155,صرخة,22,69,Srxp,-1.224
156,خذلان,55,43,x*lAn,0.13
157,مجهز,38,60,mjhz,-0.5579999999999999
158,لوووووول,21,1,lwwwwwwl,2.287
159,قائمة,113,88,qA}mp,0.13699999999999998
160,توبة,82,88,twbp,-0.18100000000000002
161,chat,8,3,chat,0.7
162,شيبرز,8,5,$ybrz,0.294
163,متوفي,25,66,mtwfy,-1.058
164,استهلك,22,28,{sthlk,-0.34299999999999997
165,معدل,199,448,mEdl,-0.92
166,مابيكم,5,4,mAbykm,0.071
167,اليومء,1,13,Alywm',-2.057
168,ونتو,6,7,wntw,-0.245
169,# جملة _ سعودية,5,0,#jmlp_sEwdyp,1.681
170,# zdrsed4k,2,9,#zdrsed4k,-1.315
171,بليتش,10,37,blyt$,-1.351
172,باريس,155,126,bArys,0.095
173,ماعندي,277,713,mAEndy,-1.054
174,ستوك,10,35,stwk,-1.297
175,ايزي,23,11,Ayzy,0.5820000000000001
176,ضي,15,64,Dy,-1.5130000000000001
177,قلبظ,7,0,qlbZ,1.9680000000000002
178,بطانة,10,1,bTAnp,1.594
179,كرباج,6,2,krbAj,0.736
180,مراهق,106,73,mrAhq,0.258
181,# نسرين,0,13,#nsryn,-2.75
182,عضمي,4,5,EDmy,-0.293
183,مفشوخين,11,2,mf$wxyn,1.275
184,مصداقية,87,24,mSdAqyp,1.147
185,مبتاكلش,7,1,mbtAkl$,1.275
186,يلبيييه,0,7,ylbyyyh,-2.19
187,بلاااااش,9,1,blAAAAA$,1.4980000000000002
188,احسان,65,51,AHsAn,0.127
189,# سوء,2,5,#sw',-0.804
190,تعاال,3,10,tEAAl,-1.123
191,افندي,75,7,Afndy,2.14
192,مسطح,6,4,msTH,0.225
193,مظبطنا,5,2,mZbTnA,0.5820000000000001
194,بقا ?,6,3,bqA?,0.449
195,مشء,2,5,m$',-0.804
196,بادخل,5,2,bAdxl,0.5820000000000001
197,! ! ! . . .,3,5,!!!...,-0.517
198,# صحي,5,5,#SHy,-0.111
199,اتزان,13,1,{tzAn,1.835
200,# اكتئاب,4,7,#{kt}Ab,-0.581
201,وهفضل,10,11,whfDl,-0.198
202,مسمعتيش,9,0,msmEty$,2.1919999999999997
203,غال,22,29,gAl,-0.377
204,cristiano,5,2,cristiano,0.5820000000000001
205,العمروسي,5,6,AlEmrwsy,-0.265
206,معندناش,63,21,mEndnA$,0.9570000000000001
207,ييييييي,6,3,yyyyyyy,0.449
208,لاقي,999,1111,lAqy,-0.217
209,الخرخير,3,9,Alxrxyr,-1.0270000000000001
210,زقزق,6,8,zqzq,-0.36200000000000004
211,مدبر,29,9,mdbr,0.988
212,صاحب,2847,1724,SAHb,0.39
213,كثرانه,3,5,kvrAnh,-0.517
214,# حاسب,9,7,#HAsb,0.11199999999999999
215,# زملكاوي,18,7,#zmlkAwy,0.754
216,ال 7,8,1,Al7,1.393
217,بيقدروا,4,5,byqdrwA,-0.293
218,ويين,11,26,wyyn,-0.922
219,مابقاش,17,27,mAbqA$,-0.5529999999999999
220,"شوية ,",6,3,"$wyp,",0.449
221,ياهلي,4,13,yAhly,-1.141
222,# حين,9,9,#Hyn,-0.111
223,احتريك,4,13,AHtryk,-1.141
224,# مبادل,2,15,#mbAdl,-1.785
225,nevine,43,0,nevine,3.673
226,مزح,958,1383,mzH,-0.478
227,باونتي,2,8,bAwnty,-1.21
228,# اسلوب,8,4,#Aslwb,0.47700000000000004
229,يالبرد,0,7,yAlbrd,-2.19
230,مسلم],0,42,mslm],-3.872
231,ميشيل,11,8,my$yl,0.177
232,دراع,6,2,drAE,0.736
233,شروع,5,3,$rwE,0.294
234,شيف,78,45,$yf,0.43
235,ياكلاب,10,27,yAklAb,-1.045
236,النونو,5,11,Alnwnw,-0.804
237,# جبهة _ النصرة,16,9,#jbhp_AlnSrp,0.42
238,"ثانية ,",3,5,"vAnyp,",-0.517
239,حكتلي,8,8,Hktly,-0.111
240,امانيكي,6,2,AmAnyky,0.736
241,ask,61,32,ask,0.52
242,رافة,29,15,rAfp,0.518
243,دهبي,5,2,dhby,0.5820000000000001
244,يرزقكك,7,2,yrzqkk,0.87
245,السكاشن,14,0,AlskA$n,2.597
246,# قضاة _ العار,4,8,#qDAp_AlEAr,-0.6990000000000001
247,اسطي,240,24,AsTy,2.155
248,مكسلة,23,15,mkslp,0.294
249,amr,111,29,amr,1.206
250,جهزو,2,8,jhzw,-1.21
251,ذانا,22,18,*AnA,0.08
252,عث,7,7,Ev,-0.111
253,وياكك,13,44,wyAkk,-1.2790000000000001
254,خوض,14,5,xwD,0.805
255,# الا _ رسول _ الله,15,14,#AlA_rswl_Allh,-0.047
256,شبشب,147,45,$b$b,1.058
257,عالظالم,6,3,EAlZAlm,0.449
258,خربتوا,6,5,xrbtwA,0.043
259,pc,13,9,pc,0.225
260,مطانيخ,14,5,mTAnyx,0.805
261,ماحك,1,7,mAHk,-1.4969999999999999
262,سلح,14,4,slH,0.988
263,اختبار ?,2,6,AxtbAr?,-0.958
264,اخر,5476,6165,Axr,-0.23
265,رصاصي,5,13,rSASy,-0.958
266,# الصحبجية,45,13,#AlSHbjyp,1.079
267,اشتباك,12,14,{$tbAk,-0.254
268,المصاريه,7,5,AlmSAryh,0.177
269,# رح _ يجي _ يوم,7,5,#rH_yjy_ywm,0.177
270,تضرر,8,6,tDrr,0.14
271,مخطي,3,10,mxTy,-1.123
272,دماغو,6,3,dmAgw,0.449
273,فرقان,9,21,frqAn,-0.9
274,الجفا,11,36,AljfA,-1.237
275,# عشانك,2,5,#E$Ank,-0.804
276,حرامم,3,20,HrAmm,-1.7690000000000001
277,طقطقو,2,8,TqTqw,-1.21
278,بطلعوا,3,5,bTlEwA,-0.517
279,مالحقتش,15,6,mAlHqt$,0.716
280,ياقلبيه,2,42,yAqlbyh,-2.7739999999999996
281,# دا,6,1,#dA,1.1420000000000001
282,لاغي,8,5,lAgy,0.294
283,سيستاني,8,1,systAny,1.393
284,# حدث,8,6,#Hdv,0.14
