,Unnamed: 0,tweet,sarcasm,sentiment,dialect,POS_FREQ,NEG_FREQ,NEU_FREQ
0,0,محمودالعلايلياري الفريق احمدشفيق رقم مهم المعادله السياسيه المصريه اغفالههل تري صحيحاربعهزاءدواحد,False,NEU,msa,29,8,61
1,1,فيدرر يا اجا والكبار,False,NEU,msa,5,5,27
2,2,الداعون لمبدا الاختلاط الجنسين كالداعين لالغاء التسعيره كلاهما يريد تصفيه السوق السوداء بجعلها حره الاختلاط,True,NEG,msa,38,13,100
3,3,مساكين الصبح هوما رايحين راجعين عاي غوغل تعبت بدالهم ههههه,True,NEG,gulf,16,12,74
4,4,قل شرق حلب تقل حلب الشرقيه وقل غرب حلب تقل حلب الغربيه فحلب موحده ويريدونها منقسمه حلبتنتصر,False,NEU,msa,51,28,188
5,5,طبيب المقاصه اصابه احمدالشيخ بسيطه تحتاج للراحه,False,NEG,msa,19,8,71
6,6,مرسي مش هنام اكتر اربع ساعات نمت دقيقه كمان زياده هديك دماغك,True,NEG,egypt,2,2,25
7,7,انتخبواالبرص مشكله,True,NEG,egypt,9,7,45
8,8, هاشتاق العرب فيديو اهالي القدس يرفعون الاذان اسطح منازلهم تحديا لقانون سلطه,False,POS,msa,21,11,68
9,9,▪️محافظ العاصمه تفقد سير العمليه الانتخابيه لجان الاقتراع تفقد محافظ العاصمه الشيخ طلال الخالد الاحمد الصباح عددا مقار اللجان الانتخابيه مناطق المحافظه وذلك لمتابعه سير عمليه الاقتراع,False,NEU,msa,60,11,127
10,10,الاتجاه اوباما يصل اسراءيل للمشاركه بدفن بيريس الاتجاه وكالاتوصل الرءيس الامريكي باراك اوباما وز,False,NEU,msa,35,25,146
11,11,والله عليش مايمدي ايفون يا حبيبي,False,POS,gulf,13,10,57
12,12,هذا,False,NEG,levant,0,0,0
13,13,مدريد كلوب اميركا نصف النهاءيالساعه ١٣٠ الظهر هلا مدريييد ولاشيء اخر ❤️❤️❤️,False,POS,msa,69,21,79
14,14,وقت الشده ظنتي الجيش المصري حيوقف السعوديه ماراح يتبعو سيسي غيروا عشان لعاد يوزعو فلوس خلاص كفايه,True,NEG,egypt,26,26,113
15,15,عمليات الانبار تحرر جزيره هيت بالكامل مجرمي داعش اذاعه البيان,False,NEU,msa,17,6,59
16,16,القطريين اختتطفو لانهم الاسره الحاكمه لانهم سنه لغرظ مساومتهم اسراهم سوريا حزب الله والله يفك اسرا,False,NEG,msa,28,14,81
17,17,انت لسه مبقتش شركاء اوبر الفرصه لسه فاديك خطوات بس هتجيب فيش وتشبيه موجه لشركه اوبر,False,NEU,egypt,25,27,153
18,18,مفحوص مفعوص حماه المحتله حماه وحلب والساحل النصيري وذهب يشتغل كلب الناتو لجهنم وبءس المصير درعالفرات,True,NEG,msa,45,29,154
19,19,عاجل عرسال عاصفه ثلجيه تهدد حياه الالاف النازحين السوريين منطقه عرسال ماسهالثورهالسوريه,False,NEU,msa,25,9,58
20,20,لوكانبخاطري نفسي اطلع لعمل تطوعي لمساعده النازحين السوريين,False,POS,levant,20,11,65
