,tweet,sarcasm,sentiment,dialect
0,محمودالعلايلياري الفريق احمدشفيق رقم مهم المعادله السياسيه المصريه اغفالههل تري صحيحاربعهزاءدواحد,False,NEU,msa
1,فيدرر يا اجا والكبار 😍,False,NEU,msa
2,الداعون لمبدا الاختلاط الجنسين كالداعين لالغاء التسعيره كلاهما يريد تصفيه السوق السوداء بجعلها حره الاختلاط,True,NEG,msa
3,مساكين الصبح هوما رايحين راجعين عاي غوغل تعبت بدالهم ههههه,True,NEG,gulf
4,قل شرق حلب تقل حلب الشرقيه وقل غرب حلب تقل حلب الغربيه فحلب موحده ويريدونها منقسمه حلبتنتصر,False,NEU,msa
5,طبيب المقاصه اصابه احمدالشيخ بسيطه تحتاج للراحه,False,NEG,msa
6,مرسي مش هنام اكتر اربع ساعات نمت دقيقه كمان زياده هديك دماغك,True,NEG,egypt
7,انتخبواالبرص مشكله,True,NEG,egypt
8,Retweeted هاشتاق العرب فيديو اهالي القدس يرفعون الاذان اسطح منازلهم تحديا لقانون سلطه,False,POS,msa
9,▪️محافظ العاصمه تفقد سير العمليه الانتخابيه لجان الاقتراع تفقد محافظ العاصمه الشيخ طلال الخالد الاحمد الصباح عددا مقار اللجان الانتخابيه مناطق المحافظه وذلك لمتابعه سير عمليه الاقتراع,False,NEU,msa
10,الاتجاه اوباما يصل اسراءيل للمشاركه بدفن بيريس الاتجاه وكالاتوصل الرءيس الامريكي باراك اوباما وز,False,NEU,msa
11,والله عليش مايمدي ايفون يا حبيبي,False,POS,gulf
12,هذا🤢,False,NEG,levant
13,مدريد كلوب اميركا نصف النهاءيالساعه ١٣٠ الظهر هلا مدريييد ولاشيء اخر ❤️❤️❤️,False,POS,msa
14,وقت الشده ظنتي الجيش المصري حيوقف السعوديه ماراح يتبعو سيسي غيروا عشان لعاد يوزعو فلوس خلاص كفايه,True,NEG,egypt
15,عمليات الانبار تحرر جزيره هيت بالكامل مجرمي داعش اذاعه البيان,False,NEU,msa
16,القطريين اختتطفو لانهم الاسره الحاكمه لانهم سنه لغرظ مساومتهم اسراهم سوريا حزب الله والله يفك اسرا,False,NEG,msa
17,انت لسه مبقتش شركاء اوبر الفرصه لسه فاديك 4 خطوات بس 1 هتجيب فيش وتشبيه موجه لشركه اوبر2,False,NEU,egypt
18,مفحوص مفعوص حماه المحتله حماه وحلب والساحل النصيري وذهب يشتغل كلب الناتو لجهنم وبءس المصير درعالفرات,True,NEG,msa
19,عاجل عرسال عاصفه ثلجيه تهدد حياه الالاف النازحين السوريين منطقه عرسال ماسهالثورهالسوريه,False,NEU,msa
20,لوكانبخاطري نفسي اطلع لعمل تطوعي لمساعده النازحين السوريين💔,False,POS,levant
21,انا اشفق هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,True,NEG,msa
22,دولهالخلافه القوات العراقيه تفكك العبوات الناسفه خلفها داعش بجزيره الرمادي,False,NEU,msa
23,ﺣﻤﺪﻳﻦﻋﺎﻭﺯﻳﺤﺎﻛﻢﺍﺳﺪﺍﻟﻌﺮﺏ برضو سانتخبالسيسيومشهنزللمستواك,False,NEG,egypt
24,انتخاب مرسي بالقطع سبه ولدي اصدقاء اشك ثوريتهم انتخبوه لكني ببساطه انتخبه وقاطعت الرءيس الشرعي,False,NEU,msa
25,خطرفيالقدس يزداد الخطر بزياده الغفله واللامبالاه قضايا القدس واخرها صوت ماذنها يقاوم الاحتلال,False,NEG,msa
26,العصابه الوهابيه تحارب جبهه النصره وتركت جيوش المجوس تسرح حلب ههههههه,True,NEG,msa
27,هههههههههههههه كمان حكاها بشار الاسد صلي العيد بداريا,True,NEG,levant
28,ماجدهواصف اعرف سماالمصري مهرجانالقاهرهالسينماءي يوجه الدعوه مصريات,True,NEG,msa
29,⁧الارهابصناعهامريكيهلاسعوديه⁩ ⁧قانونجاستا⁩محمد الملا يتكلم مذكرات هيلاري كلنتون,False,NEG,msa
30,كنت اتابع فيدرر بس كرهت نادال طلع,False,NEG,gulf
31,شمعه الكترونيه لمستخدمي اجهزه ابل,False,NEU,msa
32,حزبالله فيلقالقدسيتحدث فلسطين يقتل العرب ويدمر حلب,False,NEG,levant
33,الاعلامي عكاشه اتغير 180درجه بقي بيبرر ارتفاع الاسعار المواطن محدود الدخل بكل الوساءل وبقي زي القط الاليف مرتبات الاعلاميين بتعمل كده,True,NEG,msa
34,جستن بيبر 🌚,False,NEU,msa
35,حماس مشعل بعيون اسراءيل,False,NEU,msa
36,حواري النجمه الذهبيه نوالالزغبي صفحات جريده الوطن وتصرح اصبحت ناضجه,False,POS,msa
37,الانفاق قاتله الجنود والمدرعات حلب جبههالنصره اشترت داعش اسلحه تدمر,False,NEG,msa
38,انا انصحك تعدل لغتك العربيه بعدها تدخل الجامعه,False,NEG,egypt
39,طول انا بتخانق وبعاتبك يبقا لسه باقيه وبحبك المصيبه بقا بطلت اعمل كدا اعرف انك مبقتش تهمني تفرق معايا,False,NEG,msa
40,نادين نسيب نجيم😌😍😍,False,NEU,msa
41,اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,False,NEU,levant
42,اللهم نصرت عبدك موسي فانصر عبادك العراق سوريا اليمن نصرا عاجلا نسالك تحمي وطننا وجنودن,False,POS,msa
43,محد صاح,False,NEU,msa
