,words,frequencies
0,لما,126
1,تتأسف,1
2,وتعترف,2
3,بغلطك,1
4,دا,22
5,شيء,72
6,إسمو,1
7,خلقجميل,10
8,في,3118
9,ذكري,2
10,مقتل,16
11,«,158
12,الدرة,2
13,»,158
14,إسرائيل,88
15,تتنصل,1
16,من,2732
17,قتله,4
18,علي,179
19,يد,41
20,جنودها,1
21,[رابط],4684
22,بيقولكأعرفبلدك,2
23,القاهرةلقا,1
24,،,2711
25,الأديان,2
26,مربع,4
27,واحد,121
28,هكذا,23
29,أراد,5
30,الله,569
31,مصر,427
32,واهلهاآمنين,1
33,باذن,8
34,اخوانابليس,1
35,سر,10
36,بنا,9
37,يامحمد,1
38,وعزك,1
39,يدومومعك,1
40,حنا,6
41,مسار,3
42,إلى,282
43,محمدبنسلمان,1
44,anwaralx,1
45,2,65
46,ياباشاانت,1
47,متعرفش,1
48,ان,412
49,بتوع,12
50,جبهة,71
51,النصرة,59
52,المصابين,1
53,كانوا,24
54,بيعالجوا,1
55,فى,297
56,مستشفيات,4
57,اسرائيلوزارهم,1
58,نتنياهو,2
59,عشان,130
60,يطمن,1
61,عليهم,53
62,KhairyInas,1
63,fhed999797,1
64,Malbugaily,7
65,افكار,3
66,ايه,61
67,؟,941
68,المؤتمر,11
69,بيساطه,1
70,حدد,1
71,هم,55
72,السنه,15
73,واهل,2
74,الاسلام,60
75,الصحيح,5
76,احنا,33
77,حضرتك,11
78,بلاد,16
79,الحرمين,6
80,مش,249
81,منهم,35
82,تصوري,1
83,دعوةالصائملاترد,2
84,اللهم,112
85,طمئن,1
86,قلب,504
87,امي,8
88,واشفها,1
89,مما,19
90,تعاني,1
91,وارفع,2
92,عنها,27
93,ماألم,1
94,بها,40
95,فرج,6
96,أمي,6
97,ويسر,1
98,امرها,1
99,واكتبها,1
100,msharemt,1
101,على,1561
102,أساس,7
103,عالمية,8
104,النصر,67
105,نفس,54
106,ريال,149
107,مدريد,116
108,وبرشلونة,2
109,ومانشستر,3
110,ياخي,16
111,بالله,37
112,ماتسحتون,1
113,تقولون,1
114,عالمي,6
115,معلول,1
116,حط,1
117,الزغلول,1
118,awadhbinsud,1
119,هطف,2
120,طلع,23
121,مع,1895
122,بيونسيه,85
123,جولتها,3
124,وجاب,3
125,ناز,1
126,البومه,2
127,اللي,338
128,صار,36
129,رقم,23
130,١,109
131,وتقول,5
132,نقول,10
133,للرئيس,15
134,التركي,13
135,اردوغانالزمحدودكالعبادييمثلالعراق,1
136,أعتقد,5
137,أن,413
138,سبب,24
139,اعتقال,5
140,فراس,3
141,بقنه,1
142,فك,7
143,أسره,1
144,هو,316
145,لأنه,22
146,لم,206
147,يلتزم,3
148,بالأخلاق,1
149,السعودية,225
150,Sul6anBinFahad,1
151,Malيضحك,1
152,ابتسامة,1266
153,كبيرة,1283
154,أو,1397
155,تضحك,1268
156,النظارات,1265
157,obيضحك,1
158,lena,1
159,تبارك,2
160,الرحمن,5
161,العرب,87
162,اتحدوا,1
163,مرتين,7
164,مرة,76
165,بحربهم,2
166,العراق,136
167,عام,84
168,1991,2
169,ومرة,1
170,الان,59
171,اليمن,130
172,2015,8
173,والمضحك,2
174,بالموضوع,5
175,فلسطين,109
176,مشاركة,8
177,بالعدوان,1
178,ارتفاع,13
179,العجز,1
180,التجاري,2
181,اقتصاد,5
182,يعني,126
183,4,70
184,احزاب,1
185,اسلامية,1
186,فقط,91
187,هي,154
188,تصوت,4
189,مسودة,2
190,الدستور,30
191,وان,22
192,65,3
193,عضو,13
194,رفضوا,5
195,اللعبة,13
196,الاصل,2
197,والاحتياطي,1
198,يكون,87
199,النظام,57
200,السورى,4
201,قمعى,1
202,اروح,6
203,واقف,7
204,صف,2
205,وال,10
206,160,1
207,مليشيا,5
208,المسلحة,20
209,كل,484
210,ارجاء,1
211,الدنيا,35
212,اؤيدها,1
213,وابررلها,1
214,وممكن,2
215,انضم,4
216,لها,60
217,كمان,31
218,sh77t121,1
219,asheedJamaan,1
220,AJArabic,19
221,اصم,1
222,تيا,1
223,حمار,9
224,والله,120
225,لا,647
226,تعرف,37
227,حتى,163
228,اين,24
229,يقع,4
230,طيزك,2
231,ههههه,7
232,اما,24
233,فرنسا,57
234,فخرجت,2
235,مهزومة,2
236,و,1426
237,تتحكم,4
238,فيكم,5
239,يا,530
240,عربان,1
241,بوكيمون,69
242,المرتزق,1
243,أحسن,11
244,المرتزقة,4
245,اليمنيين,6
246,وبعدين,17
247,ميريام,43
248,فارس,45
249,حلوه,12
250,او,150
251,ر,6
252,كدا,19
253,ليهوجه,1
254,مبتسم,295
255,بعيون,199
256,Majd,2
257,القم,4
258,ياوضيع,2
259,هذا,264
260,حال,28
261,منتخبك,2
262,بدون,73
263,ميسي,128
264,للآسف,1
265,اكتشفت,5
266,تو,5
267,اني,39
268,فآشل,1
269,جدآ,2
270,بفيفآ,1
271,تخييييلوا,1
272,ضيعت,2
273,هجمة,1
274,بميسي,1
275,Fifa12,1
276,ماذا,39
277,سترتدين,1
278,لحفلة,1
279,عيد,54
280,الميلاد,38
281,yawmiyati,1
282,إطلالةيومياتي,1
283,fashion,2
284,christmas,10
285,xmas,1
286,موضة,4
287,أزياء,4
288,جستن,75
289,بيبروجه,5
290,بدموع,663
291,الفرح,653
292,فعلت,8
293,بمصرنا,1
294,الغالية,2
295,ياسيسي,2
296,بازهرنا,1
297,الشريف,50
298,طيب,35
299,12,31
300,الف,22
301,طالب,12
302,ماليزى,1
303,يرفضون,5
304,اكمال,1
305,تعليمهم,2
306,تقسيم,5
307,سورية,76
308,انتظار,4
309,الحل,15
310,فكرة,18
311,الدكتور,20
312,الربيعه,1
313,جيدة,9
314,للتخفيف,1
315,الم,9
316,الفايروس,1
317,هههههههههه,3
318,الربيعةيهديرهامايباد,1
319,نجيبساويرس,2
320,يتحكم,4
321,ف,139
322,النادي,8
323,الاهلي,18
324,احمد,48
325,سعيد,18
326,رئيس,98
327,حزب,95
328,ساويرس,7
329,اصبح,8
330,نائب,12
331,بدل,17
332,محمد,91
333,عبد,46
334,الوهاب,3
335,صاحب,19
336,التاريخ,33
337,الكبير,12
338,almokhim,1
339,بوبي,4
340,بازيني,2
341,استطاع,5
342,تسجيل,7
343,خلال,75
344,فترة,11
345,قصيرة,2
346,استوديوهات,2
347,الاساطير,2
348,لوس,2
349,انجولس,1
350,حيث,11
351,يسجل,6
352,بوب,50
353,ديلان,50
354,ومارفن,1
355,قاي,4
356,وكاش,1
357,alarabonline,2
358,إيفانكا,2
359,ترامب,172
360,تشغل,3
361,الأميركيين,4
362,غوغلأولاين,2
363,أميركا,11
364,إيفانكاترامب,2
365,ماذالوالمدارسمختلطه,39
366,زيتزيتونالجوفعصرة,1
367,أولى,9
368,الباردللتواصل,1
369,واتس,9
370,اب,15
371,05,2
372,يضحك,414
373,2664958,1
374,رضا,7
375,عبدالسلام,3
376,كلام,48
377,دعبدالمنعم,1
378,أبوالفتوح,2
379,الاقرب,1
380,الناس,157
381,وهو,83
382,علامة,24
383,علامات,4
384,شخصية,10
385,مصرية,7
386,مضحية,1
387,النخاع,1
388,مفاجأة,6
389,خالص,10
390,انه,103
391,يلاقوا,2
392,ماء,5
393,المريخ,7
394,المفاجأة,3
395,الحقيقية,5
396,انهم,27
397,بيوت,5
398,القاهرة,24
399,هل,149
400,تنتهي,9
401,حكاية,5
402,برشلونة,117
403,قريبا,18
404,سواليف,2
405,رياضة,9
406,dm,1
407,حي,23
408,جديد,71
409,تحت,68
410,سيطرة,13
411,الجيشالسوري,42
412,حلبالشرقية,5
413,فيديو,87
414,د,34
415,المنعم,14
416,أبو,51
417,الفتوح,23
418,حلقة,19
419,اليوم,225
420,الثلاثاء,16
421,16,13
422,أغسطس,2
423,2011,14
424,استعد,1
425,لهاتف,1
426,Moly,1
427,X1,1
428,بنظام,14
429,ويندوز,111
430,10,146
431,بدعم,12
432,منصة,6
433,Indiegogo,1
434,W2Pewn,1
435,AleradaNews,1
436,شاهد,76
437,بالفيديو,57
438,رد,25
439,أردوغان,57
440,حيدرالعبادي,1
441,لست,18
442,بمستوانا,1
443,ولست,2
444,بقدرنا,1
445,وإننا,1
446,نفعل,2
447,مانريد,1
448,mWhn1G,1
449,زائد,2
450,18,23
451,ماجدة,1
452,خير,35
453,تكتب,10
454,“,133
455,يوم,176
456,للستات,2
457,”,153
458,ثرثرة,1
459,حمام,4
460,السباحةسينما,1
461,افلام,9
462,نقد,1
463,مهرجانالقاهرةالسينمائي,35
464,…,1079
465,المونبيل,1
466,يستهزء,1
467,ويحرض,1
468,داخلية,2
469,ابوه,5
470,ضرب,10
471,الذين,53
472,سيخرجون,2
473,لساحة,1
474,الصفاة,1
475,بالضرب,3
476,يكرمون,1
477,الشعب,120
478,الكويتي,9
479,صفوت,5
480,بمصر,5
481,زاد,4
482,الاعداد,2
483,1,111
484,حرب,39
485,قناة,50
486,السويس,10
487,56,2
488,ذهبت,3
489,بريطانيا,75
490,للحرب,5
491,الرجوع,4
492,للكبار,1
493,فما,11
494,كان,282
495,الكبار,4
496,إلا,73
497,اخبار,30
498,uesday,3
499,11102016,4
500,طفلة,8
501,برازيلية,1
502,ذراعين,1
503,ترفض,10
504,هدية,13
505,نيمار,8
506,صور,43
507,مديريات,1
508,محافظة,10
509,صنعاء,29
510,تمظم,1
511,فعاليات,8
512,متنوعة,1
513,بمناسبة,41
514,ذكرى,35
515,المولد,47
516,النبوي,37
517,نطلبدعمالمعارضةالسوريةبصورايخوالعتاد,1
518,العسكري,19
519,لمحاربة,3
520,المرتزاقة,1
521,جنود,7
522,بوتن,64
523,والمرتزاقة,1
524,مليشياتالنظام,1
525,الاسدي,1
526,والايراني,2
527,الارهابية,5
528,SubhiLavender,1
529,شاركونا,3
530,هاشتاغ,1
531,اللافندرالورديوادخلو,1
532,السحب,10
533,ايفون,63
534,7,76
535,والعديد,1
536,الخصومات,1
537,لأنك,6
538,أنتالحياة,1
539,نحن,45
540,معك,25
541,ضد,165
542,سرطانال,1
543,المسلمون,7
544,يؤمنون,2
545,المراة,3
546,لاتقود,2
547,امة,5
548,ومع,20
549,ذلك,63
550,يتمنون,4
551,فوز,17
552,هيلاري,125
553,كلنتون,113
554,وكلاهما,2
555,اشد,2
556,اعداء,5
557,تسلم,12
558,الايادي,1
559,جيش,35
560,بلادي,3
561,شعب,38
562,تحريرسيناء,2
563,الصهاينه,3
564,الاخوان,70
565,وجه,1333
566,مرتاح,21
567,التصفيق,30
568,لون,149
569,بشرة,53
570,متوسط,53
571,الغامق,3
572,إلي,11
573,شريك,10
574,شفيق,20
575,مشروعهما,1
576,الرئاسي,13
577,الفاشل,8
578,عيب,10
579,عليكما,1
580,تعاونكما,1
581,مفضوحتزويركما,1
582,فج,2
583,إما,5
584,الجليل,5
585,الشرنوبي,1
586,كذب,20
587,مرسي,116
588,شوف,13
589,كده,64
590,مين,42
591,ليه,57
592,سوابق,2
593,الكذب,14
594,وإخلاف,2
595,الوعود,4
596,واحكم,1
597,براحتك,1
598,2012,11
599,انتم,26
600,اسياد,1
601,النصاري,1
602,باخلاقكم,1
603,كنتم,10
604,أمة,4
605,اخرجت,2
606,للناس,6
607,ahmedmessi,1
608,أيفون,12
609,هينزل,3
610,ب,205
611,17,17
612,ألف,44
613,جنيه,20
614,دنا,3
615,مستلف,1
616,أتصالات,1
617,ولسه,5
618,مرجعتهمش,1
619,علوموتكنولوجياغوغل,1
620,تعين,3
621,أحدا,5
622,فوق,27
623,ال,88
624,40,7
625,عاما,36
626,للعمل,8
