,,Label,Tweet
7.83597E+17,???,positive,???? ???? ???: ?????? ?????? ????? ??? ?? ??????https://t.co/VQyBwD3Sw4@RoayahNews https://t.co/EYj3ewE7JY
7.83643E+17,???,positive,??? ??????? ????? ????? «???? ??????»: ????? ???????? ???????? ??????? ?? ???????<br /> - ?????? - https://t.co/F2K0iCMiIu
7.83708E+17,???,negative,???? «???» ??? ?????.. ????? ?????? ?? «????? 7» https://t.co/iMXoE8jbfK https://t.co/5HLUJ3DQHC
7.83942E+17,???,negative,#Arabworld #Worldwide “????” ?????? “???” ? “???????” https://t.co/PXG2cLaJId
7.84034E+17,???,positive,"?????.. ????? ?????? ?????"" ??? ???????? https://t.co/MkSPUmYSBY"""
7.84324E+17,???,negative,#???_???_???????? ?? ???? ???? ???? «?????? ???»ttp://nononline.com/?p=162728 https://t.co/peXrF8LpHM
7.84346E+17,???,positive,"??? ?????"" ????? ?????? ???? ""?????? ??? 7"" https://t.co/abyVzEA4Jd"""
7.84367E+17,???,positive,"???"" ??????? ???????? ?????? ????.. ?""??? ???"" ?????? ???? https://t.co/ikGxgEUdEc"""
7.84393E+17,???,positive,“???” ?????? ??? ??? ???????? ???????? ?????? ???? ?? ?????? https://t.co/FKXz6IzqV3 #???????
7.84495E+17,???,negative,??? .. ?? ???? ?????? ????????? https://t.co/Z4H3G17xe2
7.84526E+17,???,positive,???? “JUUK”???? ?? ?????????? ????? ??? ?????? ???? 50 ????? ??? https://t.co/7jDM9bQdv3
7.84538E+17,???,negative,#?????_?????? ???? ?? ???? ???? ???? “?????? ???” https://t.co/MxCiXVk0uj #?????_?????
7.84548E+17,???,negative,"???? ?? ???? #???? ???? ?????? #???"" - ???????? ???? ?????? https://t.co/zRvstKtGyo #?????_?????? https://t.co/TfKY9DTFWX"""
7.84576E+17,???,negative,"??? ???? ?????? ????? ?? ?? ????"" ???? ?? ???????? https://t.co/FmJvZ5skcO #??????? #?????? #???????? #???????? #??? #???? #??????? #????…"""
7.84682E+17,???,positive,RT @20fourMedia: #??? ???? ????? ?? 120 ????? ????? ?? #??????? ???? ??????https://t.co/ZyXnCtxtHN https://t.co/mYfbAKw7dd
7.84706E+17,???,positive,??????? ????????? | ??? ???? ????? ?? ??????? ???? ?????? - ???? ??? ????? ??? ????? ??? ??????? ?? ????? ?????... https://t.co/udVBxsiLUC
7.84708E+17,???,positive,"?????? #??? ??????? ?????? ??????? ????????  https://t.co/I7fLcVFHy3  #????????? https://t.co/qsjVerYNuQ"
7.84719E+17,???,positive,??? ???? ????? ?? ??????? ???? ??????.https://t.co/2PWSkriVyv https://t.co/mLtwfPy8Uw
7.8473E+17,???,positive,“???” ???? ????? ?????? ?? “???????” https://t.co/hGjmhe0Sua https://t.co/ahr4dXYltw https://t.co/xxdrB1OzG9
7.84732E+17,???,positive,"???"" ???? ????? ?????? ?? ""???????""https://t.co/G6BUs2IPLK???? ""???"" ???? ??? ????? ??? ""???????""? ?? ????? ????? ??????? ??????? ???…"""
7.84749E+17,???,negative,???? ?? ???? ???? ???? “?????? ???”?????? ????- ????? ????? ???? ???? ???? ?? ???? “????… https://t.co/FLZxQuePT5 https://t.co/NFzAI7Adkp
7.84753E+17,???,positive,RT @RTarabic: #???  ???? ????? ?????? ?? #??????? #????_????https://t.co/zM1QaK7pRk https://t.co/Fe8XpsOfk9
7.84773E+17,???,positive,"???"" ???? ????? ?????? ?? ""???????""  https://t.co/bPJmv5BzXo via @RTarabic"""
7.8479E+17,???,positive,RT @RTarabic: #??? ???? ???? ??? ????? ??? #???????!?https://t.co/zM1QaKp1fU#????_???? https://t.co/yaWBvegFaB
7.8484E+17,???,positive,"??? ???? ??? ???????.. ????!: ??????? – ?????? ??? ??? ????? ????? “???” ??? “???????”? ???? ?? ????? ????? ?... https://t.co/L8QCamVMSK"
7.8486E+17,???,positive,RT @almowatennet: ??? ???? ??? ???????.. ????! https://t.co/wrHycqUf8Q
7.84949E+17,???,negative,RT @OKAZ_online: «???» ?«#???????» ???????? ?????? https://t.co/9tFPhzUOKi#???? #??? https://t.co/eBKK4vyLBv
7.85085E+17,???,negative,???? ?? ???? #???? ???? “?????? #???”https://t.co/2YqXBMoF5c https://t.co/4GzgQ8FBIF
7.85099E+17,???,positive,??????????.. ??? ????? ????? ???? ??????? ?????????? ????- ????? ???? ??? ???? ??????? ?… https://t.co/G4Cm6W2g8n https://t.co/pavCjJsznG
7.85103E+17,???,positive,??????????.. ??? ????? ????? ???? ??????? ????#??????_???? #?????????? #??? #??????? https://t.co/0QUAKkc7Qq
7.85123E+17,???,negative,"???? ?????? ?? ???"" ?????? ????????? ??? ?????????? https://t.co/NFwqjIpDvE #??????? #?????? #???????? #???????? #??? #???? #??????? #???…"""
7.85124E+17,???,negative,???? ?????? ????? #??? ?????????? ??? ????? ???? ???https://t.co/aYRv5MPEdq https://t.co/Hq4HpkJu15
7.85124E+17,???,negative,"????? ???? ???"" ????????? ??? ?????????? #?????_????_""???"" #?????????_???_?????????? https://t.co/QF66XmxTrX https://t.co/RO0ggEWUBd"""
7.85129E+17,???,positive,??? ????? ????? ???? ??????? ???? https://t.co/dWhFutTtG5 https://t.co/0XwVx2uTgl
7.85301E+17,???,positive,?? ???? ??? ???? ??????? ???? ????? ???????? ?? / ?? ??????? ???????? ???? ?????????? /??????????... https://t.co/TcsQfgCS5x
7.85346E+17,???,positive,??? ???? ?????? ?????? ??????? ?????? ??????? ??????? - https://t.co/dOUxjPkBCQ
7.85357E+17,???,positive,"???????? ??? #??? ?#??????? ??? ??? #????""  https://t.co/9zWNGaKmnu https://t.co/EFJHsdc1Hr"""
7.85378E+17,???,negative,???? ?????? ??? ???? ??? ???? ????? ?? ????? 6 ??? - https://t.co/35wxfJDqTA https://t.co/WIYduWjmJH
7.85381E+17,???,positive,??????????.. ??? ????? ????? ???? ??????? ???? https://t.co/LleZ0hqEAk
7.85475E+17,???,positive,??? ????? ??? ??????? ????? 120 ????? ?????https://t.co/zfaWQeNEwk??? ????? ????????? ????????? ??????? ???? ??? ?? ???? ??????? ?? ??…
7.8556E+17,???,negative,RT @Dotmsr: ???? ??? ?????? ?????? ??????????? ????????https://t.co/PtOmirelYe https://t.co/PXrT5DMd6c
7.85597E+17,???,positive,«???» ????? ??? «???????» ??????? 120 ????? ????? https://t.co/EVsbFwSQI0 https://t.co/pojXGDVHT6
7.85603E+17,???,positive,RT @Elbeyrag: ??? ??? ??? ??????? : ????? ??????? ??????? ???????? ????? ??????? ??????? ?????? ??????? https://t.co/SCLluCaOgy
7.8575E+17,???,positive,??? ????? ??? ??????? ????? 120 ????? ?????#??????_????https://t.co/MW3AljAIng
7.85755E+17,???,positive,???? ????????? ???????? ????? ??? https://t.co/7LGaXxM2Yt https://t.co/g6YfOex1I2
7.85774E+17,???,positive,??? ???? ?????? ??????? ?? ???? ?????? ?????https://t.co/pRnFPBq3Dj
7.85852E+17,???,negative,???? ??? ?????? ????? ????? ?? ???????? https://t.co/WwJJbMrYEC https://t.co/icjHpKx8xF
7.8589E+17,???,positive,???: 54% ?? ??????? ???? ????? ??????? iOS 10 https://t.co/JMJeld0Je9 #??????? #?????? #???????? #???????? #??? #???? #??????? #?????????
7.85926E+17,???,positive,????? ??????? ??? 7 ???? ????? ???? ???? ??? ?????? ?????? ????????????? ??????? ???????? https://t.co/R6g1HAkWQ5 https://t.co/3KXuDSVfso
7.85926E+17,???,negative,???? ???? ??? ??????? ?????? ????? ??? .. ?????? ?! https://t.co/VUb1M4cpKw
7.85961E+17,???,negative,"???????? ???? ???? “ ??? ” ?????? ???? ?????????? ???????: ???? ????? ??????? ??????????? ???? ????????... https://t.co/SYZs5SkbBP"
7.82891E+17,???????,positive,????? ?????? ??? ??? ??? ??????? ?????? ????? ????? https://t.co/BKwSHPPbPZ
7.82935E+17,???????,negative,??? ???? ?? ???? ? ???????? ????? ? ???? ??????? ?????.???? ??????? 7.0 ???? ????? ?? ????? ????????? https://t.co/xVAzUpEJDO
7.8298E+17,???????,negative,???? #??????? : ??????? ???? ????? ???? ?? iOS 10 – ???????? https://t.co/9JuTMeiTbE https://t.co/wzWmUISY0F#?????
7.83047E+17,???????,positive,?????: ???? ????? ??? ????? ??????? ?????? ???? Android Nougat 7.0 ?????? - https://t.co/8T96nXVnQJ
7.83068E+17,???????,positive,????? ???? ????? ??????? ??????? M https://t.co/yWj5uQiWfW
7.83136E+17,???????,positive,??? ???? #????? ????? ????? ??????? ?? #???????????? ?????? ??????: https://t.co/qiaZqK7NNYhttps://t.co/yFmwImyvZu
7.83218E+17,???????,positive,??????? 7.0 (????) ??? ?????? ??? Nexus 6 ?? ????? ?????? ??????https://t.co/1wtgOBOdY8 #???_????
7.83221E+17,???????,positive,???? ?? ??? ??????? ???? ??????? ????? ?????? ?????? ????????? ??? ????? ????????https://t.co/aO2IfqaFUI #????_????? #???????
7.83277E+17,???????,positive,?????? ???? ??????? ?? ???? ????????? ?? ???? Gmailhttps://t.co/J8Kc9X0SBv https://t.co/rR0j9QIVE8
7.8334E+17,???????,negative,????: ???? ????? ?? ??? ???? ??????? https://t.co/pM4BgiHCux
7.83351E+17,???????,positive,6 ?????? ????? ??????? #??????? ?????? ????? #????? .. ?? ???https://t.co/j073rM2VVa@AppleSupport… https://t.co/CRGjahuUFh
7.84037E+17,???????,positive,RT @20fourMedia: ????... ???? ????? ????? ????? ??? ????? ???????https://t.co/v6gEDjpIck https://t.co/EhQdaxP1lr
7.84087E+17,???????,positive,??????? ???? ?????? ????????? ??????? ??? ???? #??????? https://t.co/s7BDUAkHcG https://t.co/ldJuZTI0t9
7.8414E+17,???????,positive,???? ????? - ???? ??? ???? ???? ??????? ?? ???????? ??????? - ???? ????? - ???? ??? ???? ???? ??????? ?? ??????... https://t.co/54kt0rBjEo
7.84292E+17,???????,positive,RT @RTarabic: ???? ???? #??????? ?? #????????_???????#????_????https://t.co/pacXwHP12J https://t.co/FVvfZ24NFq
7.84293E+17,???????,positive,???? ???? #??????? ?? #????????_???????#????_????https://t.co/LChqHgtiqo https://t.co/pap7jvCXa3
7.84367E+17,???????,positive,????? ????? ???? ??????? ?? ????? ????? Safe Mode https://t.co/gGm7PblVYN
7.84402E+17,???????,positive,???? ??? ???? ???? ??????? ?? ???????? ??????? https://t.co/XSa9JOzqgr
7.84593E+17,???????,positive,????? ??????? YOKATV KB2 ????? ??????? 6 ????? 4K - https://t.co/oyGkb4apiC#??????? #android https://t.co/jolp2m4RtF
7.84638E+17,???????,positive,???? ???? ??? ??? ???? ??????? ?? ???????? https://t.co/Sq8L5BGXtC
7.8464E+17,???????,positive,#?????_?????? ???? «??? ??? 3» ???? ???? ??????? ?? ???????? ??????? https://t.co/UawPQ9Qr8C #?????_?????
7.8468E+17,???????,positive,????? ????? 24 hDone ????? ????? ?????? ?????? ??????? ??????? ??? ????? #???????#?????_?????https://t.co/LWGlR81bL3
7.8469E+17,???????,positive,???? ??????? #??????? ???? ???????https://t.co/TSD2htuESQ#???????#?????#?????_?????
7.84748E+17,???????,positive,???? ???? ??????? ?? ???????? ????????????? ????- ??? ??? ???? ?? ?????? ??? ???? ???? ?… https://t.co/3sJbREGOFP https://t.co/Ry1pHSnVMS
7.849E+17,???????,positive,Nexus 9 LTE ???? ??? ????? #??????? ???? 7.0 https://t.co/s7BDUAkHcG#???????_???? https://t.co/N9vuHidxBE
7.84905E+17,???????,positive,??? ???? ???????? ?????? ????? ??????? iOS https://t.co/s7BDUAkHcG#???_?????????? #iOS10TH https://t.co/O33lsqymgb
7.84909E+17,???????,positive,????? ???? ??Opera Max ??? ???? ??????? ???? ??????? ???????? https://t.co/UW4jjjHDLo #??????? #?????? #???????? #???????? #??? #???? #???…
7.85024E+17,???????,positive,ICQ ??? ??????? ???? ??? ???? ???? ??????? ?? ????? https://t.co/TybWbqxcfu https://t.co/b0q7An3htY
7.85039E+17,???????,positive,RT @superus71417256: ??? ???? ??? ????? ?????????  | ??????? 7.0 ???? #???????_????https://t.co/he5SvX8hN7 https://t.co/zabeuFdAyh
7.85072E+17,???????,positive,???? ????? : ??????? #??????? ???? ????? ????? | https://t.co/D1DjWLpOMo #????_??_?????_??????_????????… https://t.co/wv7q3syOQG
7.85158E+17,???????,positive,?? ????? ??????? ??? ??????? ?????? https://t.co/HvLCLgHl51
7.85231E+17,???????,positive,LifeTahrir: #???? | ???? ????? ??? ????????.. 8 ?????? ????? ?? ???? ????? «#??????? ????»https://t.co/4QP4U3aGL8 https://t.co/EnZSfKlSAE
7.85504E+17,???????,positive,3 ??????? ????? ????? ???????? ???????: ??????? ??????? ??????? ????????????? ???? ?? ??? ??????? 3 ???????... https://t.co/y9Mb2UlhcK
7.85529E+17,???????,positive,???? ??? ???? HTC Halfbeak ????? ??????? ???https://t.co/AefIFoXqUH #????_????? #???????
7.85596E+17,???????,positive,????? ??????? ??????? ?? ??????? https://t.co/s7BDUACi4e#??????? #?????_??????? https://t.co/DUNfw9bVZ7
