emoticon,english_translation,arabic_translation
🥇,1st_place_medal,ميدالية المركز الأول
🥈,2nd_place_medal,ميدالية المركز الثاني
🥉,3rd_place_medal,ميدالية المركز الثالث
🆎,AB_button_(blood_type),زر AB (فصيلة الدم)
🏧,ATM_sign,علامة الصراف الآلي
🅰,A_button_(blood_type),زر (فصيلة الدم)
🇦 🇫,Afghanistan,أفغانستان
🇦 🇱,Albania,ألبانيا
🇩 🇿,Algeria,الجزائر
🇦 🇸,American_Samoa,ساموا الأمريكية
🇦 🇩,Andorra,أندورا
🇦 🇴,Angola,أنغولا
🇦 🇮,Anguilla,أنغيلا
🇦 🇶,Antarctica,القارة القطبية الجنوبية
🇦 🇬,Antigua_&_Barbuda,أنتيغوا وبربودا
♒,Aquarius,الدلو
🇦 🇷,Argentina,الأرجنتين
♈,Aries,برج الحمل
🇦 🇲,Armenia,أرمينيا
🇦 🇼,Aruba,أروبا
🇦 🇨,Ascension_Island,جزيرة أسنسيون
🇦 🇺,Australia,أستراليا
🇦 🇹,Austria,النمسا
🇦 🇿,Azerbaijan,أذربيجان
🔙,BACK_arrow,سهم الرجوع
🅱,B_button_(blood_type),زر B (فصيلة الدم)
🇧 🇸,Bahamas,جزر البهاما
🇧 🇭,Bahrain,البحرين
🇧 🇩,Bangladesh,بنغلاديش
🇧 🇧,Barbados,بربادوس
🇧 🇾,Belarus,بيلاروسيا
🇧 🇪,Belgium,بلجيكا
🇧 🇿,Belize,بليز
🇧 🇯,Benin,بنين
🇧 🇲,Bermuda,برمودا
🇧 🇹,Bhutan,بوتان
🇧 🇴,Bolivia,بوليفيا
🇧 🇦,Bosnia_&_Herzegovina,البوسنة والهرسك
🇧 🇼,Botswana,بوتسوانا
🇧 🇻,Bouvet_Island,جزيرة بوفيت
🇧 🇷,Brazil,البرازيل
🇮 🇴,British_Indian_Ocean_Territory,إقليم المحيط البريطاني الهندي
🇻 🇬,British_Virgin_Islands,جزر فيرجن البريطانية
🇧 🇳,Brunei,بروناي
🇧 🇬,Bulgaria,بلغاريا
🇧 🇫,Burkina_Faso,بوركينا فاسو
🇧 🇮,Burundi,بوروندي
🆑,CL_button,زر CL
🆒,COOL_button,زر COOL
🇰 🇭,Cambodia,كمبوديا
🇨 🇲,Cameroon,الكاميرون
🇨 🇦,Canada,كندا
🇮 🇨,Canary_Islands,جزر الكناري
♋,Cancer,سرطان
🇨 🇻,Cape_Verde,الرأس الأخضر
♑,Capricorn,الجدي
🇧 🇶,Caribbean_Netherlands,هولندا الكاريبية
🇰 🇾,Cayman_Islands,جزر كايمان
🇨 🇫,Central_African_Republic,جمهورية افريقيا الوسطى
🇪 🇦,Ceuta_&_Melilla,سبتة ومليلية
🇹 🇩,Chad,تشاد
🇨 🇱,Chile,تشيلي
🇨 🇳,China,الصين
🇨 🇽,Christmas_Island,جزيرة الكريسماس
🎄,Christmas_tree,شجرة عيد الميلاد
🇨 🇵,Clipperton_Island,جزيرة كليبرتون
🇨 🇨,Cocos_(Keeling)_Islands,جزر كوكوس (كيلينغ)
🇨 🇴,Colombia,كولومبيا
🇰 🇲,Comoros,جزر القمر
🇨 🇬,Congo_-_Brazzaville,الكونغو - برازافيل
🇨 🇩,Congo_-_Kinshasa,الكونغو - كينشاسا
🇨 🇰,Cook_Islands,جزر كوك
🇨 🇷,Costa_Rica,كوستا ريكا
🇭 🇷,Croatia,كرواتيا
🇨 🇺,Cuba,كوبا
🇨 🇼,Curaçao,كوراساو
🇨 🇾,Cyprus,قبرص
🇨 🇿,Czech_Republic,جمهورية التشيك
🇨 🇮,Côte_d’Ivoire,كوت ديفوار
🇩 🇰,Denmark,الدنمارك
🇩 🇬,Diego_Garcia,دييغو جارسيا
🇩 🇯,Djibouti,جيبوتي
🇩 🇲,Dominica,دومينيكا
🇩 🇴,Dominican_Republic,جمهورية الدومنيكان
🔚,END_arrow,سهم النهاية
🇪 🇨,Ecuador,الاكوادور
🇪 🇬,Egypt,مصر
🇸 🇻,El_Salvador,السلفادور
🇬 🇶,Equatorial_Guinea,غينيا الإستوائية
🇪 🇷,Eritrea,إريتريا
🇪 🇪,Estonia,إستونيا
🇪 🇹,Ethiopia,أثيوبيا
🇪 🇺,European_Union,الإتحاد الأوربي
🆓,FREE_button,زر مجاني
🇫 🇰,Falkland_Islands,جزر فوكلاند
🇫 🇴,Faroe_Islands,جزر فاروس
🇫 🇯,Fiji,فيجي
🇫 🇮,Finland,فنلندا
🇫 🇷,France,فرنسا
🇬 🇫,French_Guiana,غيانا الفرنسية
🇵 🇫,French_Polynesia,بولينيزيا الفرنسية
🇹 🇫,French_Southern_Territories,المناطق الجنوبية لفرنسا
🇬 🇦,Gabon,الجابون
